epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2471,2.63785,4.71874,1.38295,0.71459,0.30728,0.3451,0.15385,1.89945,2.86761,1.07315,0.000275697,0.000275697,0.000275697
2,85.5984,1.86345,2.35281,1.03794,0.5528,0.44741,0.52133,0.25942,1.68645,1.86846,1.00906,0.000547886,0.000547886,0.000547886
3,127.958,1.8088,1.77338,1.0187,0.60198,0.6265,0.63423,0.3048,1.6777,1.43003,0.99523,0.000814576,0.000814576,0.000814576
4,170.339,1.75141,1.41177,1.00638,0.61301,0.65208,0.6565,0.31886,1.67629,1.25926,0.99681,0.00080826,0.00080826,0.00080826
5,212.355,1.69943,1.26635,0.992,0.64558,0.68468,0.69747,0.35572,1.57857,1.08332,0.97464,0.000800013,0.000800013,0.000800013
6,254.956,1.68075,1.15457,0.98543,0.65433,0.73236,0.71558,0.36809,1.57094,1.02775,0.96629,0.000791767,0.000791767,0.000791767
7,295.19,1.63954,1.05801,0.97584,0.6689,0.76076,0.72716,0.37455,1.57587,1.00553,0.97636,0.00078352,0.00078352,0.00078352
8,336.404,1.64648,1.01944,0.97823,0.68623,0.81034,0.75005,0.39591,1.55258,0.93232,0.96766,0.000775273,0.000775273,0.000775273
9,378.843,1.61164,0.97476,0.96867,0.67468,0.75695,0.75604,0.39165,1.56698,0.89521,0.97187,0.000767026,0.000767026,0.000767026
10,422.951,1.60226,0.92936,0.96393,0.78318,0.70107,0.75007,0.39548,1.52132,0.88262,0.95841,0.00075878,0.00075878,0.00075878
11,462.601,1.60373,0.93015,0.9694,0.68167,0.81309,0.79793,0.41689,1.53171,0.84661,0.95698,0.000750533,0.000750533,0.000750533
12,505.887,1.59463,0.89619,0.9646,0.7698,0.79645,0.81988,0.43641,1.51574,0.81287,0.95632,0.000742286,0.000742286,0.000742286
13,548.62,1.58762,0.88691,0.96465,0.76695,0.82341,0.83076,0.44331,1.50685,0.81367,0.95291,0.00073404,0.00073404,0.00073404
14,590.818,1.57979,0.86582,0.96406,0.75864,0.79949,0.82703,0.41879,1.54303,0.84449,0.95795,0.000725793,0.000725793,0.000725793
15,631.615,1.56714,0.85634,0.9569,0.78351,0.83191,0.83777,0.45087,1.51327,0.79114,0.95168,0.000717546,0.000717546,0.000717546
16,671.412,1.56012,0.8355,0.95719,0.79932,0.81386,0.85689,0.41991,1.6333,0.81036,0.97457,0.000709299,0.000709299,0.000709299
17,712.888,1.58281,0.85628,0.96295,0.82735,0.80834,0.88073,0.47231,1.49074,0.75507,0.94976,0.000701053,0.000701053,0.000701053
18,752.811,1.56314,0.83653,0.95561,0.82537,0.84086,0.88704,0.46282,1.53207,0.78575,0.95379,0.000692806,0.000692806,0.000692806
19,792.108,1.5567,0.79891,0.95733,0.8254,0.7897,0.86217,0.45596,1.51244,0.77932,0.95002,0.000684559,0.000684559,0.000684559
20,831.712,1.54904,0.81169,0.9483,0.78241,0.86121,0.8943,0.48423,1.50178,0.75794,0.94858,0.000676313,0.000676313,0.000676313
21,870.857,1.54596,0.80328,0.95633,0.86317,0.82594,0.89642,0.48039,1.50641,0.74776,0.95003,0.000668066,0.000668066,0.000668066
22,910.047,1.53657,0.78353,0.9529,0.83422,0.84711,0.90493,0.47287,1.5129,0.74686,0.94858,0.000659819,0.000659819,0.000659819
23,953.654,1.51569,0.76846,0.93702,0.85526,0.86281,0.92136,0.49708,1.48899,0.72465,0.94384,0.000651573,0.000651573,0.000651573
24,61.5292,1.53432,0.76906,0.96024,0.877,0.80089,0.90007,0.48807,1.48805,0.72495,0.94046,0.000643326,0.000643326,0.000643326
25,100.928,1.49452,0.7457,0.9392,0.85201,0.85136,0.91117,0.48591,1.49908,0.71226,0.94359,0.000635079,0.000635079,0.000635079
26,143.895,1.52619,0.75955,0.94365,0.88063,0.87854,0.9343,0.51135,1.48433,0.70983,0.94164,0.000626832,0.000626832,0.000626832
27,186.22,1.50993,0.74738,0.94432,0.90159,0.88097,0.93497,0.51451,1.46752,0.69829,0.93647,0.000618586,0.000618586,0.000618586
28,229.119,1.51113,0.74278,0.94365,0.91929,0.87295,0.93943,0.48702,1.52937,0.70196,0.9509,0.000610339,0.000610339,0.000610339
29,271.169,1.51676,0.73739,0.94095,0.87778,0.88857,0.93241,0.48917,1.50993,0.68961,0.94635,0.000602092,0.000602092,0.000602092
30,313.158,1.49133,0.72641,0.93565,0.8869,0.86626,0.92647,0.48865,1.48461,0.70148,0.93853,0.000593846,0.000593846,0.000593846
31,355.066,1.51214,0.73812,0.94523,0.88881,0.91198,0.94913,0.50353,1.51139,0.70097,0.94554,0.000585599,0.000585599,0.000585599
32,397.592,1.4882,0.71779,0.93771,0.90523,0.87896,0.94179,0.51286,1.48438,0.68154,0.94297,0.000577352,0.000577352,0.000577352
33,439.881,1.48626,0.71892,0.93255,0.90506,0.87286,0.94706,0.50613,1.50194,0.6851,0.94448,0.000569106,0.000569106,0.000569106
34,482.68,1.48621,0.7053,0.94027,0.91195,0.89065,0.95479,0.51336,1.47437,0.66978,0.93654,0.000560859,0.000560859,0.000560859
35,525.229,1.4814,0.70059,0.93743,0.90336,0.88952,0.95056,0.50101,1.49844,0.67386,0.94293,0.000552612,0.000552612,0.000552612
36,568.361,1.48204,0.70468,0.93808,0.9265,0.89733,0.95907,0.51942,1.47069,0.65137,0.93657,0.000544365,0.000544365,0.000544365
37,609.39,1.47168,0.68736,0.93652,0.90964,0.90375,0.95354,0.51561,1.46474,0.65943,0.93635,0.000536119,0.000536119,0.000536119
38,651.112,1.46576,0.68869,0.93219,0.91001,0.90904,0.95789,0.51397,1.50091,0.66589,0.94463,0.000527872,0.000527872,0.000527872
39,691.683,1.46165,0.68708,0.93342,0.90646,0.9137,0.956,0.51756,1.4698,0.65811,0.93907,0.000519625,0.000519625,0.000519625
40,731.361,1.46966,0.69414,0.93652,0.90139,0.90491,0.94951,0.50986,1.49976,0.67025,0.94261,0.000511379,0.000511379,0.000511379
41,770.611,1.46914,0.68508,0.93301,0.92203,0.91754,0.95404,0.49793,1.50943,0.66654,0.94363,0.000503132,0.000503132,0.000503132
42,809.633,1.44826,0.67732,0.93076,0.91393,0.91475,0.95143,0.51974,1.46174,0.65424,0.93449,0.000494885,0.000494885,0.000494885
43,849.546,1.45363,0.67003,0.92666,0.92427,0.91573,0.96234,0.51481,1.48454,0.64788,0.94085,0.000486639,0.000486639,0.000486639
44,888.53,1.45134,0.67208,0.93286,0.92874,0.92122,0.96346,0.53587,1.45189,0.6416,0.93368,0.000478392,0.000478392,0.000478392
45,927.131,1.4395,0.66535,0.93013,0.92644,0.90537,0.96092,0.52215,1.46393,0.64716,0.93482,0.000470145,0.000470145,0.000470145
46,965.888,1.42409,0.65595,0.91801,0.91086,0.92264,0.96219,0.52966,1.44851,0.6462,0.93207,0.000461898,0.000461898,0.000461898
47,1004.69,1.46092,0.66763,0.93274,0.94323,0.88504,0.96043,0.5272,1.45526,0.64407,0.93577,0.000453652,0.000453652,0.000453652
48,1043.99,1.47661,0.66696,0.93745,0.92622,0.91097,0.95422,0.52442,1.45656,0.6476,0.93397,0.000445405,0.000445405,0.000445405
49,1083.03,1.46126,0.67067,0.93577,0.92649,0.91559,0.96256,0.52952,1.45283,0.642,0.93343,0.000437158,0.000437158,0.000437158
50,1121.87,1.44398,0.65527,0.92708,0.92216,0.91522,0.95859,0.53081,1.45231,0.64289,0.93123,0.000428912,0.000428912,0.000428912
51,1160.93,1.45466,0.65773,0.93079,0.92687,0.92897,0.9696,0.53233,1.46825,0.63171,0.93386,0.000420665,0.000420665,0.000420665
52,1199.75,1.44162,0.6554,0.93282,0.93767,0.90588,0.96011,0.51781,1.4679,0.63335,0.93578,0.000412418,0.000412418,0.000412418
53,1238.65,1.44103,0.65642,0.92728,0.91791,0.91124,0.95342,0.52694,1.45077,0.6318,0.93101,0.000404172,0.000404172,0.000404172
54,1277.82,1.45217,0.65426,0.92569,0.92756,0.93137,0.96466,0.51974,1.48697,0.63765,0.93732,0.000395925,0.000395925,0.000395925
55,1317.13,1.43092,0.63888,0.92894,0.91937,0.92023,0.95751,0.53112,1.46166,0.6431,0.93219,0.000387678,0.000387678,0.000387678
56,1356.12,1.43701,0.6423,0.92276,0.92785,0.92165,0.96115,0.52571,1.47763,0.6316,0.93444,0.000379431,0.000379431,0.000379431
57,1395.04,1.4189,0.62885,0.9191,0.92193,0.94523,0.96687,0.5348,1.44609,0.61481,0.93126,0.000371185,0.000371185,0.000371185
58,1434.03,1.42449,0.63875,0.92427,0.94824,0.92001,0.96552,0.51985,1.48433,0.62949,0.93607,0.000362938,0.000362938,0.000362938
